frame.number,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,_ws.col.protocol,frame.time_relative
"7","192.168.1.10","192.168.1.4","46232","21","74","TCP","12.033191000"
"8","192.168.1.4","192.168.1.10","21","46232","74","TCP","12.033930000"
"9","192.168.1.10","192.168.1.4","46232","21","66","TCP","12.033994000"
"10","192.168.1.4","192.168.1.10","21","46232","86","FTP","12.038224000"
"11","192.168.1.10","192.168.1.4","46232","21","66","TCP","12.038275000"
"12","192.168.1.10","192.168.1.4","46232","21","81","FTP","16.529191000"
"13","192.168.1.4","192.168.1.10","21","46232","66","TCP","16.529602000"
"14","192.168.1.4","192.168.1.10","21","46232","100","FTP","16.529603000"
"15","192.168.1.10","192.168.1.4","46232","21","66","TCP","16.529628000"
"16","192.168.1.10","192.168.1.4","46232","21","81","FTP","20.816261000"
"17","192.168.1.4","192.168.1.10","21","46232","66","TCP","20.848910000"
"18","192.168.1.4","192.168.1.10","21","46232","89","FTP","20.956170000"
"19","192.168.1.10","192.168.1.4","46232","21","66","TCP","20.956238000"
"20","192.168.1.10","192.168.1.4","46232","21","72","FTP","20.956828000"
"21","192.168.1.4","192.168.1.10","21","46232","66","TCP","20.957571000"
"22","192.168.1.4","192.168.1.10","21","46232","85","FTP","20.957572000"
"23","192.168.1.10","192.168.1.4","46232","21","72","FTP","20.957810000"
"24","192.168.1.4","192.168.1.10","21","46232","81","FTP","20.958601000"
"25","192.168.1.4","192.168.1.10","21","46232","73","FTP","20.958601000"
"26","192.168.1.10","192.168.1.4","46232","21","66","TCP","20.958688000"
"27","192.168.1.4","192.168.1.10","21","46232","131","FTP","20.959503000"
"28","192.168.1.10","192.168.1.4","46232","21","66","TCP","21.003569000"
"29","192.168.1.10","192.168.1.4","46232","21","72","FTP","25.879672000"
"30","192.168.1.4","192.168.1.10","21","46232","115","FTP","25.880204000"
"31","192.168.1.10","192.168.1.4","46232","21","66","TCP","25.880220000"
"35","192.168.1.10","192.168.1.4","46232","21","72","FTP","25.880825000"
"36","192.168.1.4","192.168.1.10","21","46232","105","FTP","25.881229000"
"42","192.168.1.4","192.168.1.10","21","46232","90","FTP","25.881918000"
"43","192.168.1.10","192.168.1.4","46232","21","66","TCP","25.881957000"
"44","192.168.1.10","192.168.1.4","46232","21","71","FTP","28.738947000"
"45","192.168.1.4","192.168.1.10","21","46232","88","FTP","28.739417000"
"46","192.168.1.10","192.168.1.4","46232","21","66","TCP","28.783301000"
"47","192.168.1.10","192.168.1.4","46232","21","74","FTP","50.837416000"
"48","192.168.1.4","192.168.1.10","21","46232","97","FTP","50.837869000"
"49","192.168.1.10","192.168.1.4","46232","21","66","TCP","50.837884000"
"50","192.168.1.10","192.168.1.4","46232","21","72","FTP","50.838256000"
"51","192.168.1.4","192.168.1.10","21","46232","115","FTP","50.838640000"
"55","192.168.1.10","192.168.1.4","46232","21","82","FTP","50.839350000"
"56","192.168.1.4","192.168.1.10","21","46232","88","FTP","50.839767000"
"57","192.168.1.10","192.168.1.4","46232","21","66","TCP","50.883756000"
"63","192.168.1.4","192.168.1.10","21","46232","90","FTP","50.950698000"
"64","192.168.1.10","192.168.1.4","46232","21","66","TCP","50.950746000"
"69","192.168.1.10","192.168.1.4","46232","21","83","FTP","180.310410000"
"70","192.168.1.4","192.168.1.10","21","46232","74","FTP","180.310887000"
"71","192.168.1.10","192.168.1.4","46232","21","66","TCP","180.310901000"
"72","192.168.1.10","192.168.1.4","46232","21","72","FTP","180.311023000"
"73","192.168.1.4","192.168.1.10","21","46232","115","FTP","180.311434000"
"77","192.168.1.10","192.168.1.4","46232","21","83","FTP","180.311975000"
"78","192.168.1.4","192.168.1.10","21","46232","134","FTP","180.312380000"
"79","192.168.1.10","192.168.1.4","46232","21","66","TCP","180.355786000"
"85","192.168.1.4","192.168.1.10","21","46232","90","FTP","180.392175000"
"86","192.168.1.10","192.168.1.4","46232","21","66","TCP","180.392206000"
"87","192.168.1.10","192.168.1.4","46232","21","83","FTP","180.392408000"
"88","192.168.1.4","192.168.1.10","21","46232","86","FTP","180.393026000"
"89","192.168.1.10","192.168.1.4","46232","21","66","TCP","180.436140000"
"90","192.168.1.10","192.168.1.4","46232","21","72","FTP","190.712237000"
"91","192.168.1.4","192.168.1.10","21","46232","80","FTP","190.712753000"
"92","192.168.1.4","192.168.1.10","21","46232","66","TCP","190.712753000"
"93","192.168.1.10","192.168.1.4","46232","21","66","TCP","190.712771000"
"94","192.168.1.10","192.168.1.4","46232","21","66","TCP","190.712965000"
"95","192.168.1.4","192.168.1.10","21","46232","66","TCP","190.713345000"
"100","192.168.1.10","192.168.1.4","46401","6200","74","TCP","545.292436000"
"101","192.168.1.4","192.168.1.10","6200","46401","74","TCP","545.292856000"
"102","192.168.1.10","192.168.1.4","46401","6200","66","TCP","545.292881000"
"103","192.168.1.10","192.168.1.4","46401","6200","69","TCP","545.293632000"
"104","192.168.1.4","192.168.1.10","6200","46401","66","TCP","545.294036000"
"105","192.168.1.10","192.168.1.4","46401","6200","66","TCP","550.298424000"
"106","192.168.1.4","192.168.1.10","6200","46401","66","TCP","550.339548000"
"107","192.168.1.10","192.168.1.4","45731","6200","74","TCP","574.593327000"
"108","192.168.1.4","192.168.1.10","6200","45731","74","TCP","574.593863000"
"109","192.168.1.10","192.168.1.4","45731","6200","66","TCP","574.593880000"
"110","192.168.1.10","192.168.1.4","45731","6200","69","TCP","574.594744000"
"111","192.168.1.4","192.168.1.10","6200","45731","66","TCP","574.595151000"
"112","192.168.1.10","192.168.1.4","45731","6200","66","TCP","579.601049000"
"113","192.168.1.4","192.168.1.10","6200","45731","66","TCP","579.640508000"
"114","192.168.1.10","192.168.1.4","36759","6200","74","TCP","648.241001000"
"115","192.168.1.4","192.168.1.10","6200","36759","74","TCP","648.241311000"
"116","192.168.1.10","192.168.1.4","36759","6200","66","TCP","648.241330000"
"117","192.168.1.10","192.168.1.4","36759","6200","69","TCP","648.242168000"
"118","192.168.1.4","192.168.1.10","6200","36759","66","TCP","648.242633000"
"119","192.168.1.10","192.168.1.4","36759","6200","66","TCP","653.250499000"
"120","192.168.1.4","192.168.1.10","6200","36759","66","TCP","653.287930000"
"224","192.168.1.10","192.168.1.4","42193","6200","74","TCP","747.296446000"
"227","192.168.1.4","192.168.1.10","6200","42193","60","TCP","747.307168000"
"228","192.168.1.10","192.168.1.4","35207","21","74","TCP","747.308104000"
"229","192.168.1.4","192.168.1.10","21","35207","74","TCP","747.308436000"
"230","192.168.1.10","192.168.1.4","35207","21","66","TCP","747.308455000"
"231","192.168.1.4","192.168.1.10","21","35207","86","FTP","747.463074000"
"232","192.168.1.10","192.168.1.4","35207","21","66","TCP","747.463119000"
"233","192.168.1.10","192.168.1.4","35207","21","77","FTP","747.464256000"
"234","192.168.1.4","192.168.1.10","21","35207","66","TCP","747.464678000"
"235","192.168.1.4","192.168.1.10","21","35207","100","FTP","747.464770000"
"236","192.168.1.10","192.168.1.4","35207","21","76","FTP","747.465250000"
"237","192.168.1.10","192.168.1.4","46435","6200","74","TCP","747.466000000"
"238","192.168.1.4","192.168.1.10","6200","46435","74","TCP","747.466350000"
"239","192.168.1.10","192.168.1.4","46435","6200","66","TCP","747.466372000"
"240","192.168.1.10","192.168.1.4","46435","6200","69","TCP","747.467183000"
"241","192.168.1.4","192.168.1.10","6200","46435","66","TCP","747.467577000"
"242","192.168.1.4","192.168.1.10","6200","46435","90","TCP","747.468378000"
"243","192.168.1.10","192.168.1.4","46435","6200","66","TCP","747.468390000"
"244","192.168.1.10","192.168.1.4","46435","6200","88","TCP","747.468979000"
"245","192.168.1.4","192.168.1.10","21","35207","66","TCP","747.496862000"
"246","192.168.1.4","192.168.1.10","6200","46435","66","TCP","747.506479000"
"247","192.168.1.10","192.168.1.4","46435","6200","89","TCP","751.087582000"
"248","192.168.1.4","192.168.1.10","6200","46435","66","TCP","751.088507000"
"249","192.168.1.4","192.168.1.10","6200","46435","83","TCP","751.090386000"
"250","192.168.1.10","192.168.1.4","46435","6200","66","TCP","751.131851000"
"251","192.168.1.10","192.168.1.4","46435","6200","82","TCP","752.096561000"
"252","192.168.1.4","192.168.1.10","6200","46435","77","TCP","752.097489000"
"253","192.168.1.10","192.168.1.4","46435","6200","66","TCP","752.097528000"
"254","192.168.1.10","192.168.1.4","35207","21","66","TCP","757.308367000"
"255","192.168.1.4","192.168.1.10","21","35207","66","TCP","757.342917000"
"256","192.168.1.10","192.168.1.4","46435","6200","67","TCP","757.441321000"
"257","192.168.1.4","192.168.1.10","6200","46435","66","TCP","757.472954000"
"258","192.168.1.10","192.168.1.4","46435","6200","73","TCP","776.794318000"
"259","192.168.1.4","192.168.1.10","6200","46435","66","TCP","776.794713000"
"260","192.168.1.4","192.168.1.10","6200","46435","71","TCP","776.795439000"
"261","192.168.1.10","192.168.1.4","46435","6200","66","TCP","776.795456000"
"264","192.168.1.10","192.168.1.4","46435","6200","75","TCP","784.558493000"
"265","192.168.1.4","192.168.1.10","6200","46435","155","TCP","784.559319000"
"266","192.168.1.10","192.168.1.4","46435","6200","66","TCP","784.559336000"
"268","192.168.1.10","192.168.1.4","46435","6200","76","TCP","809.194394000"
"269","192.168.1.4","192.168.1.10","6200","46435","105","TCP","809.195030000"
"270","192.168.1.10","192.168.1.4","46435","6200","66","TCP","809.195046000"
"273","192.168.1.10","192.168.1.4","46435","6200","76","TCP","816.587050000"
"274","192.168.1.4","192.168.1.10","6200","46435","105","TCP","816.587738000"
"275","192.168.1.10","192.168.1.4","46435","6200","66","TCP","816.587755000"
"276","192.168.1.10","192.168.1.4","46435","6200","76","TCP","819.911901000"
"277","192.168.1.4","192.168.1.10","6200","46435","106","TCP","819.912527000"
"278","192.168.1.10","192.168.1.4","46435","6200","66","TCP","819.912543000"
"279","192.168.1.10","192.168.1.4","46435","6200","71","TCP","823.351702000"
"280","192.168.1.4","192.168.1.10","21","35207","76","FTP","823.352277000"
"281","192.168.1.4","192.168.1.10","21","35207","86","FTP","823.352277000"
"282","192.168.1.4","192.168.1.10","21","35207","68","FTP","823.352277000"
"283","192.168.1.10","192.168.1.4","35207","21","54","TCP","823.352295000"
"284","192.168.1.10","192.168.1.4","35207","21","54","TCP","823.352307000"
"285","192.168.1.10","192.168.1.4","35207","21","54","TCP","823.352313000"
"286","192.168.1.4","192.168.1.10","6200","46435","66","TCP","823.352380000"
"287","192.168.1.10","192.168.1.4","46435","6200","66","TCP","823.352569000"
"288","192.168.1.4","192.168.1.10","6200","46435","66","TCP","823.352890000"
